HomeTeam,AwayTeam
Man United,Arsenal
West Ham,Newcastle
Everton,West Ham
Ipswich,Nott'm Forest
Man City,Brighton
Southampton,Wolves
Bournemouth,Brentford
Arsenal,Chelsea
Fulham,Tottenham
Leicester,Man United
Arsenal,Fulham
Wolves,West Ham
Nott'm Forest,Man United
Bournemouth,Ipswich
Brighton,Aston Villa
Man City,Leicester
Newcastle,Brentford
Southampton,Crystal Palace
Liverpool,Everton
Chelsea,Tottenham
Everton,Arsenal
Crystal Palace,Brighton
Ipswich,Wolves
West Ham,Bournemouth
Aston Villa,Nott'm Forest
Brentford,Chelsea
Fulham,Liverpool
Tottenham,Southampton
Man United,Man City
Leicester,Newcastle
Man City,Crystal Palace
Brighton,Leicester
Nott'm Forest,Everton
Southampton,Aston Villa
Arsenal,Brentford
Chelsea,Ipswich
Liverpool,West Ham
Wolves,Tottenham
Newcastle,Man United
Bournemouth,Fulham
Newcastle,Crystal Palace
Brentford,Brighton
Crystal Palace,Bournemouth
Everton,Man City
West Ham,Southampton
Aston Villa,Newcastle
Fulham,Chelsea
Ipswich,Arsenal
Man United,Wolves
Leicester,Liverpool
Tottenham,Nott'm Forest
Man City,Aston Villa
Arsenal,Crystal Palace
Chelsea,Everton
Brighton,West Ham
Newcastle,Ipswich
Southampton,Fulham
Wolves,Leicester
Bournemouth,Man United
Liverpool,Tottenham
Nott'm Forest,Brentford
Man City,Wolves
Aston Villa,Fulham
Everton,Ipswich
Leicester,Southampton
Arsenal,Bournemouth
Brentford,Man United
Brighton,Newcastle
West Ham,Tottenham
Chelsea,Liverpool
Crystal Palace,Nott'm Forest
Fulham,Everton
Ipswich,Brentford
Southampton,Man City
Wolves,Brighton
Bournemouth,Aston Villa
Newcastle,Chelsea
Man United,West Ham
Nott'm Forest,Leicester
Tottenham,Crystal Palace
Liverpool,Arsenal
Aston Villa,Tottenham
Chelsea,Man United
Everton,Southampton
West Ham,Nott'm Forest
Brentford,Fulham
Leicester,Ipswich
Arsenal,Newcastle
Brighton,Liverpool
Crystal Palace,Wolves
Man City,Bournemouth
Bournemouth,Leicester
Fulham,Man City
Ipswich,West Ham
Liverpool,Crystal Palace
Man United,Aston Villa
Newcastle,Everton
Nott'm Forest,Chelsea
Southampton,Arsenal
Tottenham,Brighton
Wolves,Brentford
