HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,Home_adv_elo,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,Elo_diff,Elo_ratio,Goals_likelyhood_H,Goals_likelyhood_A,Home_adv_elo_sum,HomeTeam_code,AwayTeam_code
Man United,Ipswich,1541.950054,1453.768898,7.5,1,4,3,2,1.5,4,9,-5,0,3,0,4,0,0.8,1.8,4,12,-8,0,1,0,3,0,0.8,2.4,88.18115562,1.060656928,3.2,2.6,1549.450054,13,9
Nott'm Forest,Arsenal,1574.404585,1746.962161,-22.5,-2,3,7,0.6,1.4,7,7,0,1,0,2,1,0.4,1.4,1.4,10,6,4,1,0,2,1,0.4,2,1.2,-172.5575755,0.901224205,2.6,3.4,1551.904585,15,0
Tottenham,Man City,1565.549759,1766.258676,-22.5,0,8,6,1.6,1.2,3,12,-9,0,2,0,4,0,0.6,2.4,8,2,6,1,0,4,0,0.8,1.6,0.4,-200.708917,0.886364936,1,4,1543.049759,17,12
Liverpool,Newcastle,1775.13597,1657.056402,37.5,4,13,6,2.6,1.2,11,9,2,0,1,2,2,0.4,2.2,1.8,12,5,7,1,0,3,1,0.6,2.4,1,118.0795672,1.071258629,3.2,4.2,1812.63597,11,14
West Ham,Leicester,1528.585579,1454.032862,7.5,-2,6,9,1.2,1.8,7,7,0,1,0,1,2,0.2,1.4,1.4,6,6,0,1,0,2,2,0.4,1.2,1.2,74.55271632,1.051273061,2.6,2.6,1536.085579,18,10
Nott'm Forest,Man City,1574.404585,1766.258676,-22.5,-2,2,8,0.4,1.6,7,7,0,1,0,2,1,0.4,1.4,1.4,8,2,6,1,0,4,0,0.8,1.6,0.4,-191.8540902,0.89137826,1.8,3,1551.904585,15,12
Brighton,Fulham,1595.794221,1561.143628,7.5,-2,4,9,0.8,1.8,10,9,1,1,0,2,1,0.4,2,1.8,4,8,-4,0,2,1,4,0.2,0.8,1.6,34.65059233,1.022195647,3.6,2.6,1603.294221,4,8
Crystal Palace,Ipswich,1608.655525,1453.768898,67.5,2,2,0,1,0,5,8,-3,1,0,1,1,0.2,1,1.6,4,12,-8,0,1,0,3,0,0.8,2.4,154.8866266,1.106541436,3.4,2.4,1676.155525,6,9
Liverpool,Southampton,1775.13597,1365.877665,97.5,4,15,9,3,1.8,11,9,2,0,1,2,2,0.4,2.2,1.8,2,8,-6,0,0,0,3,0,0.4,1.6,409.2583051,1.299630279,3.8,2.2,1872.63597,11,16
Brentford,Aston Villa,1592.687461,1639.14767,-22.5,-3,6,10,1.2,2,12,6,6,4,0,4,0,0.8,2.4,1.2,9,3,6,3,0,4,1,0.8,1.8,0.6,-46.46020916,0.971655873,3,3,1570.187461,3,1
Wolves,Everton,1523.196733,1573.959804,7.5,1,6,6,1.2,1.2,6,7,-1,0,3,2,3,0.4,1.2,1.4,7,6,1,2,0,2,2,0.4,1.4,1.2,-50.76307102,0.967748178,2.4,2.8,1530.696733,19,7
