HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,Home_adv_elo,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,Elo_diff,Elo_ratio,Goals_likelyhood_H,Goals_likelyhood_A,Home_adv_elo_sum,HomeTeam_code,AwayTeam_code
Aston Villa,Newcastle,1639.14767,1657.056402,97.5,-1,9,12,1.8,2.4,10,3,7,2,0,4,1,0.8,2,0.6,12,5,7,1,0,3,1,0.6,2.4,1,-17.90873229,0.989192443,3,3,1736.64767,1,14
Fulham,Chelsea,1561.143628,1641.33892,7.5,-2,3,6,0.6,1.2,7,9,-2,1,0,2,3,0.4,1.4,1.8,7,4,3,1,0,4,1,0.8,1.4,0.8,-80.19529143,0.951140322,2.2,3.2,1568.643628,8,5
Ipswich,Arsenal,1453.768898,1746.962161,-52.5,-2,0,5,0,2.5,2,12,-10,0,2,0,4,0,0.4,2.4,10,6,4,1,0,2,1,0.4,2,1.2,-293.1932623,0.832169655,1.6,4.4,1401.268898,9,0
Man United,Wolves,1541.950054,1523.196733,-52.5,1,7,6,1.4,1.2,4,9,-5,0,3,0,4,0,0.8,1.8,8,5,3,0,2,3,2,0.6,1.6,1,18.75332123,1.012311818,1.8,3.4,1489.450054,13,19
Leicester,Liverpool,1454.032862,1775.13597,7.5,-5,2,11,0.4,2.2,6,8,-2,0,0,1,2,0.2,1.2,1.6,11,7,4,0,0,3,1,0.6,2.2,1.4,-321.1031072,0.819110698,2.6,3.8,1461.532862,10,11
Tottenham,Nott'm Forest,1565.549759,1574.404585,-52.5,1,9,5,1.8,1,3,12,-9,0,2,0,4,0,0.6,2.4,5,7,-2,0,0,1,2,0.2,1,1.4,-8.854826751,0.994375762,2,3.4,1513.049759,17,15
Man City,Aston Villa,1766.258676,1639.14767,67.5,1,10,6,2,1.2,10,3,7,0,0,4,0,0.8,2,0.6,9,3,6,3,0,4,1,0.8,1.8,0.6,127.1110054,1.077547013,2.6,2.4,1833.758676,12,1
Arsenal,Crystal Palace,1746.962161,1608.655525,37.5,4,17,4,3.4,0.8,10,7,3,0,0,1,1,0.2,2,1.4,9,5,4,2,0,2,0,0.4,1.8,1,138.3066357,1.08597654,3,3.2,1784.462161,0,6
Chelsea,Everton,1641.33892,1573.959804,37.5,1,9,4,1.8,0.8,8,6,2,0,1,3,1,0.6,1.6,1.2,7,6,1,2,0,2,2,0.4,1.4,1.2,67.37911591,1.042808664,2.8,2.6,1678.83892,5,7
Brighton,West Ham,1595.794221,1528.585579,7.5,1,9,6,1.8,1.2,10,9,1,1,0,2,1,0.4,2,1.8,7,7,0,0,1,1,2,0.2,1.4,1.4,67.20864197,1.043967863,3.4,3.2,1603.294221,4,18
Newcastle,Ipswich,1657.056402,1453.768898,97.5,2,7,0,3.5,0,7,6,1,0,1,2,2,0.4,1.4,1.2,4,12,-8,0,1,0,3,0,0.8,2.4,203.2875039,1.139834814,3.8,2,1754.556402,14,9
Southampton,Fulham,1365.877665,1561.143628,-52.5,-2,5,7,1,1.4,2,7,-5,0,1,0,3,0,0.4,1.4,4,8,-4,0,2,1,4,0.2,0.8,1.6,-195.2659639,0.874921205,2,2.2,1313.377665,16,8
Wolves,Leicester,1523.196733,1454.032862,97.5,1,9,7,1.8,1.4,6,7,-1,0,3,2,3,0.4,1.2,1.4,6,6,0,1,0,2,2,0.4,1.2,1.2,69.16387045,1.047566924,2.4,2.6,1620.696733,19,10
Bournemouth,Man United,1586.826287,1541.950054,67.5,1,9,4,1.8,0.8,4,6,-2,0,2,1,2,0.2,0.8,1.2,5,12,-7,0,2,0,4,0,1,2.4,44.87623263,1.029103558,3.2,2.2,1654.326287,2,13
Liverpool,Tottenham,1775.13597,1565.549759,97.5,3,20,11,4,2.2,11,9,2,0,1,2,2,0.4,2.2,1.8,5,14,-9,0,1,0,4,0,1,2.8,209.5862111,1.133873874,5,2.8,1872.63597,11,17
Nott'm Forest,Brentford,1574.404585,1592.687461,-22.5,-2,6,8,1.2,1.6,7,7,0,1,0,2,1,0.4,1.4,1.4,13,8,5,0,1,4,1,0.8,2.6,1.6,-18.28287567,0.988520739,3,4,1551.904585,15,3
Man City,Wolves,1766.258676,1523.196733,67.5,3,12,4,2.4,0.8,10,3,7,0,0,4,0,0.8,2,0.6,8,5,3,0,2,3,2,0.6,1.6,1,243.0619426,1.159573571,3,2.2,1833.758676,12,19
Aston Villa,Fulham,1639.14767,1561.143628,97.5,5,10,3,2,0.6,10,3,7,2,0,4,1,0.8,2,0.6,4,8,-4,0,2,1,4,0.2,0.8,1.6,78.00404173,1.049965961,3.6,1.4,1736.64767,1,8
Everton,Ipswich,1573.959804,1453.768898,7.5,1,4,2,2,1,6,6,0,1,0,2,2,0.4,1.2,1.2,4,12,-8,0,1,0,3,0,0.8,2.4,120.1909054,1.082675386,3.6,2,1581.459804,7,9
Leicester,Southampton,1454.032862,1365.877665,67.5,1,10,6,2,1.2,6,8,-2,0,0,1,2,0.2,1.2,1.6,2,8,-6,0,0,0,3,0,0.4,1.6,88.1551979,1.064541064,2.8,2,1521.532862,10,16
Arsenal,Bournemouth,1746.962161,1586.826287,37.5,1,11,6,2.2,1.2,10,7,3,0,0,1,1,0.2,2,1.4,4,3,1,0,1,2,1,0.4,0.8,0.6,160.1358741,1.100915819,2.6,2.2,1784.462161,0,2
Brentford,Man United,1592.687461,1541.950054,67.5,-2,7,9,1.4,1.8,12,6,6,4,0,4,0,0.8,2.4,1.2,5,12,-7,0,2,0,4,0,1,2.4,50.73740685,1.032904702,4.8,2.2,1660.187461,3,13
Brighton,Newcastle,1595.794221,1657.056402,7.5,1,7,7,1.4,1.4,10,9,1,1,0,2,1,0.4,2,1.8,12,5,7,1,0,3,1,0.6,2.4,1,-61.26218168,0.963029513,3,4.2,1603.294221,4,14
West Ham,Tottenham,1528.585579,1565.549759,7.5,-1,5,9,1,1.8,7,7,0,1,0,1,2,0.2,1.4,1.4,5,14,-9,0,1,0,4,0,1,2.8,-36.96417979,0.97638901,4.2,2.4,1536.085579,18,17
Chelsea,Liverpool,1641.33892,1775.13597,67.5,-1,6,8,1.2,1.6,8,6,2,0,1,3,1,0.6,1.6,1.2,11,7,4,0,0,3,1,0.6,2.2,1.4,-133.7970498,0.924627154,3,3.4,1708.83892,5,11
Crystal Palace,Nott'm Forest,1608.655525,1574.404585,7.5,-1,3,4,0.6,0.8,5,8,-3,1,0,1,1,0.2,1,1.6,5,7,-2,0,0,1,2,0.2,1,1.4,34.25093985,1.021754853,2.4,2.6,1616.155525,6,15
Fulham,Everton,1561.143628,1573.959804,-22.5,1,6,5,1.2,1,7,9,-2,1,0,2,3,0.4,1.4,1.8,7,6,1,2,0,2,2,0.4,1.4,1.2,-12.81617552,0.991857368,2.6,3.2,1538.643628,8,7
Ipswich,Brentford,1453.768898,1592.687461,-52.5,-2,3,5,1.5,2.5,2,12,-10,0,2,0,4,0,0.4,2.4,13,8,5,0,1,4,1,0.8,2.6,1.6,-138.9185625,0.912777261,2,5,1401.268898,9,3
Southampton,Man City,1365.877665,1766.258676,-52.5,-3,2,10,0.4,2,2,7,-5,0,1,0,3,0,0.4,1.4,8,2,6,1,0,4,0,0.8,1.6,0.4,-400.381011,0.773316889,0.8,3,1313.377665,16,12
Wolves,Brighton,1523.196733,1595.794221,37.5,-3,3,14,0.6,2.8,6,7,-1,0,3,2,3,0.4,1.2,1.4,11,9,2,2,0,3,1,0.6,2.2,1.8,-72.59748784,0.954506987,3,3.6,1560.696733,19,4
Bournemouth,Aston Villa,1586.826287,1639.14767,-22.5,-3,4,10,0.8,2,4,6,-2,0,2,1,2,0.2,0.8,1.2,9,3,6,3,0,4,1,0.8,1.8,0.6,-52.32138337,0.968080128,1.4,3,1564.326287,2,1
Newcastle,Chelsea,1657.056402,1641.33892,67.5,0,10,7,2,1.4,7,6,1,0,1,2,2,0.4,1.4,1.2,7,4,3,1,0,4,1,0.8,1.4,0.8,15.71748258,1.009576013,2.2,2.6,1724.556402,14,5
Man United,West Ham,1541.950054,1528.585579,-22.5,-3,4,7,0.8,1.4,4,9,-5,0,3,0,4,0,0.8,1.8,7,7,0,0,1,1,2,0.2,1.4,1.4,13.36447536,1.008743034,2.2,3.2,1519.450054,13,18
Nott'm Forest,Leicester,1574.404585,1454.032862,37.5,1,7,7,1.75,1.75,7,7,0,1,0,2,1,0.4,1.4,1.4,6,6,0,1,0,2,2,0.4,1.2,1.2,120.3717229,1.082784733,2.6,2.6,1611.904585,15,10
Tottenham,Crystal Palace,1565.549759,1608.655525,7.5,1,6,5,1.2,1,3,12,-9,0,2,0,4,0,0.6,2.4,9,5,4,2,0,2,0,0.4,1.8,1,-43.1057666,0.973203855,1.6,4.2,1573.049759,17,6
Liverpool,Arsenal,1775.13597,1746.962161,37.5,-1,8,10,1.6,2,11,9,2,0,1,2,2,0.4,2.2,1.8,10,6,4,1,0,2,1,0.4,2,1.2,28.17380877,1.016127315,3.4,3.8,1812.63597,11,0
Aston Villa,Tottenham,1639.14767,1565.549759,157.5,1,7,10,1.4,2,10,3,7,2,0,4,1,0.8,2,0.6,5,14,-9,0,1,0,4,0,1,2.8,73.59791158,1.047010905,4.8,1.6,1796.64767,1,17
Chelsea,Man United,1641.33892,1541.950054,127.5,0,8,10,1.6,2,8,6,2,0,1,3,1,0.6,1.6,1.2,5,12,-7,0,2,0,4,0,1,2.4,99.38886571,1.064456605,4,2.2,1768.83892,5,13
Everton,Southampton,1573.959804,1365.877665,37.5,-1,5,6,1,1.2,6,6,0,1,0,2,2,0.4,1.2,1.2,2,8,-6,0,0,0,3,0,0.4,1.6,208.0821394,1.152343174,2.8,1.6,1611.459804,7,16
West Ham,Nott'm Forest,1528.585579,1574.404585,-82.5,-1,8,9,1.6,1.8,7,7,0,1,0,1,2,0.2,1.4,1.4,5,7,-2,0,0,1,2,0.2,1,1.4,-45.81900654,0.970897565,2.8,2.4,1446.085579,18,15
Brentford,Fulham,1592.687461,1561.143628,7.5,0,9,7,1.8,1.4,12,6,6,4,0,4,0,0.8,2.4,1.2,4,8,-4,0,2,1,4,0.2,0.8,1.6,31.54383257,1.020205593,4,2,1600.187461,3,8
Leicester,Ipswich,1454.032862,1453.768898,37.5,1,3,1,1.5,0.5,6,8,-2,0,0,1,2,0.2,1.2,1.6,4,12,-8,0,1,0,3,0,0.8,2.4,0.263963937,1.000181572,3.6,2.4,1491.532862,10,9
Arsenal,Newcastle,1746.962161,1657.056402,7.5,1,7,3,1.4,0.6,10,7,3,0,0,1,1,0.2,2,1.4,12,5,7,1,0,3,1,0.6,2.4,1,89.90575842,1.054256306,3,3.8,1754.462161,0,14
Brighton,Liverpool,1595.794221,1775.13597,7.5,0,10,8,2,1.6,10,9,1,1,0,2,1,0.4,2,1.8,11,7,4,0,0,3,1,0.6,2.2,1.4,-179.3417489,0.898970134,3.4,4,1603.294221,4,11
Crystal Palace,Wolves,1608.655525,1523.196733,7.5,2,12,9,2.4,1.8,5,8,-3,1,0,1,1,0.2,1,1.6,8,5,3,0,2,3,2,0.6,1.6,1,85.45879225,1.056104895,2,3.2,1616.155525,6,19
Man City,Bournemouth,1766.258676,1586.826287,127.5,3,15,5,3,1,10,3,7,0,0,4,0,0.8,2,0.6,4,3,1,0,1,2,1,0.4,0.8,0.6,179.4323888,1.113076264,2.6,1.4,1893.758676,12,2
Bournemouth,Leicester,1586.826287,1454.032862,67.5,3,9,3,1.8,0.6,4,6,-2,0,2,1,2,0.2,0.8,1.2,6,6,0,1,0,2,2,0.4,1.2,1.2,132.7934243,1.091327664,2,2.4,1654.326287,2,10
Fulham,Man City,1561.143628,1766.258676,7.5,-5,4,16,0.8,3.2,7,9,-2,1,0,2,3,0.4,1.4,1.8,8,2,6,1,0,4,0,0.8,1.6,0.4,-205.1150471,0.883870324,1.8,3.4,1568.643628,8,12
Ipswich,West Ham,1453.768898,1528.585579,-52.5,-2,2,7,1,3.5,2,12,-10,0,2,0,4,0,0.4,2.4,7,7,0,0,1,1,2,0.2,1.4,1.4,-74.81668026,0.951054961,1.8,3.8,1401.268898,9,18
Liverpool,Crystal Palace,1775.13597,1608.655525,67.5,1,4,3,0.8,0.6,11,9,2,0,1,2,2,0.4,2.2,1.8,9,5,4,2,0,2,0,0.4,1.8,1,166.4804445,1.103490425,3.2,3.6,1842.63597,11,6
Man United,Aston Villa,1541.950054,1639.14767,-52.5,4,8,3,1.6,0.6,4,9,-5,0,3,0,4,0,0.8,1.8,9,3,6,3,0,4,1,0.8,1.8,0.6,-97.197616,0.940702343,1.4,3.6,1489.450054,13,1
Newcastle,Everton,1657.056402,1573.959804,37.5,-1,5,6,1,1.2,7,6,1,0,1,2,2,0.4,1.4,1.2,7,6,1,2,0,2,2,0.4,1.4,1.2,83.0965985,1.052794613,2.6,2.6,1694.556402,14,7
Nott'm Forest,Chelsea,1574.404585,1641.33892,-22.5,-1,6,7,1.2,1.4,7,7,0,1,0,2,1,0.4,1.4,1.4,7,4,3,1,0,4,1,0.8,1.4,0.8,-66.93433454,0.959219675,2.2,2.8,1551.904585,15,5
Southampton,Arsenal,1365.877665,1746.962161,-52.5,-1,7,9,1.4,1.8,2,7,-5,0,1,0,3,0,0.4,1.4,10,6,4,1,0,2,1,0.4,2,1.2,-381.0844963,0.781858758,1.6,3.4,1313.377665,16,0
Tottenham,Brighton,1565.549759,1595.794221,-22.5,-1,9,13,1.8,2.6,3,12,-9,0,2,0,4,0,0.6,2.4,11,9,2,2,0,3,1,0.6,2.2,1.8,-30.24446219,0.981047392,2.4,4.6,1543.049759,17,4
Wolves,Brentford,1523.196733,1592.687461,37.5,0,10,9,2,1.8,6,7,-1,0,3,2,3,0.4,1.2,1.4,13,8,5,0,1,4,1,0.8,2.6,1.6,-69.49072808,0.956368886,2.8,4,1560.696733,19,3
