HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,B365>2.5,B365<2.5,AHh
Fulham,Wolves,1,4,1.67,2.2,-0.75
Man City,Tottenham,0,4,1.3,3.5,-1.25
Southampton,Liverpool,2,3,1.44,2.75,1.75
Ipswich,Man United,1,1,1.57,2.38,1
Newcastle,West Ham,0,2,1.53,2.5,-1
Brighton,Southampton,1,1,1.44,2.75,-1.5
Brentford,Leicester,4,1,1.57,2.38,-0.75
Crystal Palace,Newcastle,1,1,1.8,2,0.25
Nott'm Forest,Ipswich,1,0,1.92,1.98,-0.75
Wolves,Bournemouth,2,4,1.67,2.2,0
West Ham,Arsenal,2,5,1.73,2.1,1.25
Chelsea,Aston Villa,3,0,1.53,2.5,-0.75
Man United,Everton,4,0,1.73,2.1,-1
Tottenham,Fulham,1,1,1.44,2.75,-0.75
Liverpool,Man City,2,0,1.57,2.38,-0.25
Ipswich,Crystal Palace,0,1,2.01,1.89,0.25
Leicester,West Ham,3,1,1.73,2.1,0.25
Everton,Wolves,4,0,2.03,1.87,-0.25
Man City,Nott'm Forest,3,0,1.57,2.38,-1.5
Newcastle,Liverpool,3,3,1.57,2.38,0.75
Southampton,Chelsea,1,5,1.44,2.75,1.5
Arsenal,Man United,2,0,1.62,2.3,-1.25
Aston Villa,Brentford,3,1,1.57,2.38,-0.75
Fulham,Brighton,3,1,1.62,2.3,-0.25
Bournemouth,Tottenham,1,0,1.44,2.75,0
Aston Villa,Southampton,1,0,1.44,2.75,-1.5
Brentford,Newcastle,4,2,1.57,2.38,0.25
Crystal Palace,Man City,2,2,1.62,2.3,1
Man United,Nott'm Forest,2,3,1.8,2,-0.75
Fulham,Arsenal,1,1,1.8,2,1
Ipswich,Bournemouth,1,2,1.73,2.1,0.5
Leicester,Brighton,2,2,1.57,2.38,0.75
Tottenham,Chelsea,3,4,1.36,3.2,0.5
West Ham,Wolves,2,1,1.62,2.3,-0.5
Arsenal,Everton,0,0,1.67,2.2,-1.75
