Date,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Home Shots,Away Shots,Home Shots on Target,Away Shots on Target,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Full Time Result
15-08-09,Aston Villa,Wigan,0,2,11,14,5,7,15,14,4,6,2,2,0,0,A
15-08-09,Blackburn,Man City,0,2,17,8,9,5,12,9,5,4,2,1,0,0,A
15-08-09,Bolton,Sunderland,0,1,11,20,3,13,16,10,4,7,2,1,0,0,A
15-08-09,Chelsea,Hull,2,1,26,7,12,3,13,15,12,4,1,2,0,0,H
15-08-09,Everton,Arsenal,1,6,8,15,5,9,11,13,4,9,0,0,0,0,A
15-08-09,Portsmouth,Fulham,0,1,16,9,4,3,11,18,6,4,3,2,0,0,A
15-08-09,Stoke,Burnley,2,0,12,9,5,5,15,10,3,6,2,2,0,0,H
15-08-09,Wolves,West Ham,0,2,19,16,11,13,9,5,8,6,0,0,0,0,A
16-08-09,Man United,Birmingham,1,0,26,6,17,4,13,7,13,2,1,1,0,0,H
16-08-09,Tottenham,Liverpool,2,1,17,6,11,3,14,16,6,5,3,3,0,0,H
18-08-09,Sunderland,Chelsea,1,3,4,20,3,9,14,10,1,14,2,2,0,0,A
18-08-09,Wigan,Wolves,0,1,18,9,5,3,8,21,4,4,0,3,0,0,A
19-08-09,Birmingham,Portsmouth,1,0,9,9,5,4,11,20,4,5,0,5,0,0,H
19-08-09,Burnley,Man United,1,0,8,18,2,9,8,12,1,12,2,1,0,0,H
19-08-09,Hull,Tottenham,1,5,9,18,7,12,23,13,6,5,3,2,0,0,A
19-08-09,Liverpool,Stoke,4,0,18,6,13,3,10,9,11,5,0,1,0,0,H
22-08-09,Arsenal,Portsmouth,4,1,19,9,16,4,9,10,8,4,1,0,0,0,H
22-08-09,Birmingham,Stoke,0,0,8,13,6,3,8,13,3,3,0,3,0,0,D
22-08-09,Hull,Bolton,1,0,12,20,5,10,19,19,4,12,3,2,0,0,H
22-08-09,Man City,Wolves,1,0,16,10,11,2,7,11,5,6,0,1,0,0,H
22-08-09,Sunderland,Blackburn,2,1,8,18,5,5,12,14,0,10,2,1,0,0,H
22-08-09,Wigan,Man United,0,5,16,16,7,13,11,8,3,5,2,2,0,0,A
23-08-09,Burnley,Everton,1,0,8,17,4,11,11,13,3,7,1,0,0,0,H
23-08-09,Fulham,Chelsea,0,2,4,12,1,4,11,10,4,7,0,0,0,0,A
23-08-09,West Ham,Tottenham,1,2,17,17,8,10,13,11,4,8,2,1,0,0,A
24-08-09,Liverpool,Aston Villa,1,3,21,7,12,4,15,11,10,4,3,2,0,0,A
29-08-09,Blackburn,West Ham,0,0,19,11,9,5,13,18,5,2,1,3,0,0,D
29-08-09,Bolton,Liverpool,2,3,8,26,5,14,14,7,5,11,3,1,1,0,A
29-08-09,Chelsea,Burnley,3,0,27,3,17,0,7,5,10,1,0,1,0,0,H
29-08-09,Man United,Arsenal,2,1,10,9,4,3,21,15,6,5,3,6,0,0,H
29-08-09,Stoke,Sunderland,1,0,13,9,7,6,9,8,10,10,0,2,0,0,H
29-08-09,Tottenham,Birmingham,2,1,20,11,14,6,12,10,7,3,2,2,0,0,H
29-08-09,Wolves,Hull,1,1,24,5,17,4,11,15,8,2,0,2,0,0,D
30-08-09,Aston Villa,Fulham,2,0,9,6,4,3,9,9,9,4,1,2,0,0,H
30-08-09,Everton,Wigan,2,1,26,12,14,7,11,24,12,5,1,5,0,0,H
30-08-09,Portsmouth,Man City,0,1,11,12,6,8,12,7,3,11,2,1,0,0,A
12-09-09,Blackburn,Wolves,3,1,13,9,10,5,13,16,10,6,1,2,0,0,H
12-09-09,Liverpool,Burnley,4,0,27,6,16,3,8,10,7,5,0,2,0,0,H
12-09-09,Man City,Arsenal,4,2,10,19,6,9,13,12,3,12,3,2,0,0,H
12-09-09,Portsmouth,Bolton,2,3,21,14,11,6,17,17,7,5,2,0,0,0,A
12-09-09,Stoke,Chelsea,1,2,4,18,2,10,13,11,4,14,3,3,0,0,A
12-09-09,Sunderland,Hull,4,1,7,6,4,5,18,15,7,8,2,2,0,0,H
12-09-09,Tottenham,Man United,1,3,11,17,7,13,16,13,3,9,3,2,0,1,A
12-09-09,Wigan,West Ham,1,0,12,12,6,5,13,11,6,7,2,1,0,0,H
13-09-09,Birmingham,Aston Villa,0,1,11,12,7,5,10,20,7,1,1,2,0,0,A
13-09-09,Fulham,Everton,2,1,14,6,8,6,6,10,5,3,1,0,0,0,H
19-09-09,Arsenal,Wigan,4,0,23,8,11,5,6,18,6,4,2,2,0,0,H
19-09-09,Aston Villa,Portsmouth,2,0,7,17,5,12,17,12,7,5,2,0,0,0,H
19-09-09,Bolton,Stoke,1,1,11,10,5,6,6,11,4,6,2,2,0,0,D
19-09-09,Burnley,Sunderland,3,1,10,8,3,5,4,15,4,4,0,3,0,0,H
19-09-09,Hull,Birmingham,0,1,16,14,11,9,15,13,10,8,0,2,0,0,A
19-09-09,West Ham,Liverpool,2,3,8,19,5,15,13,17,4,4,3,3,0,0,A
20-09-09,Chelsea,Tottenham,3,0,25,9,15,4,7,9,11,3,0,2,0,0,H
20-09-09,Everton,Blackburn,3,0,18,7,11,4,15,18,6,2,1,2,0,0,H
20-09-09,Man United,Man City,4,3,21,10,11,6,15,14,11,1,2,2,0,0,H
20-09-09,Wolves,Fulham,2,1,12,3,4,1,14,11,3,3,1,1,0,0,H
26-09-09,Birmingham,Bolton,1,2,12,10,6,4,9,17,8,4,2,1,0,0,A
26-09-09,Blackburn,Aston Villa,2,1,15,10,7,5,14,11,6,5,2,3,1,0,H
26-09-09,Fulham,Arsenal,0,1,18,14,12,4,14,11,4,6,4,0,0,0,A
26-09-09,Liverpool,Hull,6,1,22,7,14,3,10,3,13,2,1,4,0,0,H
26-09-09,Portsmouth,Everton,0,1,16,12,12,8,14,17,5,6,0,3,0,0,A
26-09-09,Stoke,Man United,0,2,2,13,1,7,9,8,2,7,1,1,0,0,A
26-09-09,Tottenham,Burnley,5,0,18,10,12,7,10,14,2,7,1,1,0,0,H
26-09-09,Wigan,Chelsea,3,1,15,14,9,8,11,11,4,7,1,2,0,1,H
27-09-09,Sunderland,Wolves,5,2,10,15,8,11,18,11,7,8,1,3,0,0,H
28-09-09,Man City,West Ham,3,1,20,12,12,8,18,14,11,5,1,1,0,0,H
03-10-09,Bolton,Tottenham,2,2,12,17,9,9,15,16,5,6,2,1,0,0,D
03-10-09,Burnley,Birmingham,2,1,15,10,13,6,17,11,8,4,0,3,0,0,H
03-10-09,Hull,Wigan,2,1,11,13,6,5,14,8,4,2,0,2,0,0,H
03-10-09,Man United,Sunderland,2,2,17,4,9,3,11,15,14,1,2,3,0,1,D
03-10-09,Wolves,Portsmouth,0,1,11,12,5,8,8,12,8,6,1,2,0,0,A
04-10-09,Arsenal,Blackburn,6,2,24,7,18,7,9,10,8,1,1,1,0,0,H
04-10-09,Chelsea,Liverpool,2,0,12,12,8,3,14,17,5,8,1,1,0,0,H
04-10-09,Everton,Stoke,1,1,24,8,17,6,5,15,11,4,1,3,0,0,D
04-10-09,West Ham,Fulham,2,2,20,10,10,6,12,9,8,4,3,2,0,1,D
05-10-09,Aston Villa,Man City,1,1,12,9,6,7,10,8,6,6,1,2,0,0,D
17-10-09,Arsenal,Birmingham,3,1,20,3,12,2,8,16,7,3,1,2,0,0,H
