Date,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Home Shots,Away Shots,Home Shots on Target,Away Shots on Target,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Full Time Result
04-12-04,Everton,Bolton,3,2,12,10,3,6,14,18,4,4,0,3,0,0,H
04-12-04,Man United,Southampton,3,0,34,4,14,0,5,10,16,2,0,1,0,0,H
04-12-04,Norwich,Fulham,0,1,10,15,4,9,22,22,5,4,1,3,0,0,A
04-12-04,Portsmouth,West Brom,3,2,14,10,10,4,14,14,8,3,0,2,0,0,H
05-12-04,Crystal Palace,Charlton,0,1,5,11,3,7,16,14,5,3,2,3,0,0,A
06-12-04,Middlesbrough,Man City,3,2,11,9,7,6,14,18,6,4,0,3,0,0,H
11-12-04,Crystal Palace,Blackburn,0,0,8,16,1,8,19,20,2,1,3,3,0,1,D
11-12-04,Everton,Liverpool,1,0,6,16,2,5,12,14,2,7,2,3,0,0,H
11-12-04,Man City,Tottenham,0,1,8,5,3,2,8,9,6,2,1,2,0,0,A
11-12-04,Newcastle,Portsmouth,1,1,15,6,2,3,12,15,6,2,1,2,0,0,D
11-12-04,Norwich,Bolton,3,2,9,4,4,3,10,26,4,4,1,3,0,0,H
11-12-04,Southampton,Middlesbrough,2,2,16,15,5,7,11,12,4,6,1,1,0,0,D
11-12-04,West Brom,Charlton,0,1,7,8,4,2,16,13,6,6,0,0,0,0,A
12-12-04,Arsenal,Chelsea,2,2,10,10,5,5,11,17,4,6,1,3,0,0,D
12-12-04,Aston Villa,Birmingham,1,2,9,9,3,5,9,28,6,0,2,4,0,0,A
13-12-04,Fulham,Man United,1,1,7,14,3,6,15,11,6,7,2,1,0,0,D
14-12-04,Liverpool,Portsmouth,1,1,12,7,7,4,6,9,6,4,0,0,0,0,D
18-12-04,Birmingham,West Brom,4,0,7,11,5,9,14,20,2,2,0,4,0,0,H
18-12-04,Blackburn,Everton,0,0,13,5,9,2,25,21,7,3,1,2,0,0,D
18-12-04,Bolton,Man City,0,1,14,6,6,2,17,12,8,1,0,0,0,0,A
18-12-04,Chelsea,Norwich,4,0,12,1,8,0,12,11,7,3,0,0,0,0,H
18-12-04,Man United,Crystal Palace,5,2,19,4,14,3,12,8,15,3,0,1,0,0,H
18-12-04,Middlesbrough,Aston Villa,3,0,9,14,8,6,6,18,5,6,0,1,0,0,H
18-12-04,Tottenham,Southampton,5,1,18,7,12,4,9,13,6,3,0,2,0,0,H
19-12-04,Liverpool,Newcastle,3,1,15,7,5,3,12,19,5,5,0,3,0,1,H
19-12-04,Portsmouth,Arsenal,0,1,11,13,5,5,13,9,5,7,0,1,0,0,A
20-12-04,Charlton,Fulham,2,1,8,6,5,4,14,16,5,3,1,2,0,0,H
26-12-04,Arsenal,Fulham,2,0,11,2,8,1,12,9,7,6,1,2,0,0,H
26-12-04,Birmingham,Middlesbrough,2,0,11,9,10,6,17,9,5,3,1,0,0,0,H
26-12-04,Blackburn,Newcastle,2,2,21,5,11,3,18,19,7,5,1,2,0,0,D
26-12-04,Chelsea,Aston Villa,1,0,14,9,7,7,12,13,6,3,3,3,0,0,H
26-12-04,Crystal Palace,Portsmouth,0,1,18,11,10,6,10,14,9,7,0,2,0,0,A
26-12-04,Everton,Man City,2,1,9,10,6,6,14,21,4,4,1,2,0,1,H
26-12-04,Man United,Bolton,2,0,14,8,7,1,12,14,9,0,0,0,0,0,H
26-12-04,Norwich,Tottenham,0,2,13,16,8,9,11,9,10,8,1,0,0,0,A
26-12-04,Southampton,Charlton,0,0,12,15,4,5,7,12,5,11,1,0,0,0,D
26-12-04,West Brom,Liverpool,0,5,2,16,1,8,12,13,4,11,0,0,1,0,A
28-12-04,Aston Villa,Man United,0,1,8,15,6,7,14,10,6,9,0,3,0,0,A
28-12-04,Bolton,Blackburn,0,1,13,7,5,5,13,10,5,1,2,2,0,0,A
28-12-04,Charlton,Everton,2,0,12,5,8,3,13,11,8,2,0,0,0,1,H
28-12-04,Fulham,Birmingham,2,3,10,6,7,5,9,13,7,3,1,0,0,0,A
28-12-04,Liverpool,Southampton,1,0,19,3,11,2,6,12,7,3,0,3,0,0,H
28-12-04,Man City,West Brom,1,1,11,0,4,0,7,10,11,0,0,0,0,1,D
28-12-04,Middlesbrough,Norwich,2,0,17,10,11,2,13,10,8,4,1,1,0,0,H
28-12-04,Portsmouth,Chelsea,0,2,4,12,2,9,12,15,5,4,1,3,0,0,A
28-12-04,Tottenham,Crystal Palace,1,1,17,11,14,7,10,15,5,6,1,0,0,0,D
29-12-04,Newcastle,Arsenal,0,1,9,13,5,6,10,21,4,8,1,4,0,0,A
01-01-05,Aston Villa,Blackburn,1,0,11,9,3,4,9,9,6,7,1,0,0,0,H
01-01-05,Bolton,West Brom,1,1,25,11,15,7,13,15,7,3,0,1,0,0,D
01-01-05,Charlton,Arsenal,1,3,7,8,4,5,13,15,1,2,1,1,0,0,A
01-01-05,Fulham,Crystal Palace,3,1,12,7,6,3,11,18,4,2,1,3,0,0,H
01-01-05,Liverpool,Chelsea,0,1,14,8,7,7,14,16,3,2,2,2,0,0,A
01-01-05,Man City,Southampton,2,1,15,6,8,1,12,9,9,8,0,0,0,0,H
01-01-05,Middlesbrough,Man United,0,2,6,13,2,7,13,9,10,4,1,0,0,0,A
01-01-05,Newcastle,Birmingham,2,1,8,10,4,8,8,14,6,5,1,2,0,0,H
01-01-05,Portsmouth,Norwich,1,1,14,6,6,5,13,6,7,5,3,0,0,1,D
01-01-05,Tottenham,Everton,5,2,14,6,12,3,8,13,6,4,0,0,0,0,H
03-01-05,Blackburn,Charlton,1,0,16,9,11,6,11,14,6,8,2,3,0,0,H
03-01-05,Crystal Palace,Aston Villa,2,0,14,12,9,6,8,14,7,7,2,3,0,0,H
03-01-05,Norwich,Liverpool,1,2,7,11,4,6,16,19,5,2,2,3,0,0,A
03-01-05,West Brom,Newcastle,0,0,8,12,5,7,9,7,1,6,2,0,0,0,D
04-01-05,Arsenal,Man City,1,1,13,5,9,4,10,13,12,5,3,3,0,0,D
04-01-05,Birmingham,Bolton,1,2,14,11,8,6,12,12,6,5,2,2,0,0,A
04-01-05,Chelsea,Middlesbrough,2,0,14,2,10,1,15,9,4,3,2,1,0,0,H
04-01-05,Everton,Portsmouth,2,1,17,9,7,6,5,9,8,1,0,0,0,0,H
04-01-05,Man United,Tottenham,0,0,23,7,16,5,11,13,8,2,1,2,0,0,D
05-01-05,Southampton,Fulham,3,3,8,12,5,7,16,16,2,10,2,2,0,0,D
15-01-05,Aston Villa,Norwich,3,0,22,7,10,1,15,12,7,5,0,0,0,0,H
15-01-05,Bolton,Arsenal,1,0,9,11,3,7,8,8,8,7,2,1,0,0,H
15-01-05,Charlton,Birmingham,3,1,10,10,6,6,11,10,4,4,0,2,0,0,H
15-01-05,Liverpool,Man United,0,1,13,5,5,2,12,25,9,4,2,4,0,1,A
15-01-05,Man City,Crystal Palace,3,1,16,7,9,2,10,11,7,7,2,1,0,0,H
15-01-05,Newcastle,Southampton,2,1,22,9,17,6,12,20,14,4,0,2,0,0,H
15-01-05,Portsmouth,Blackburn,0,1,11,14,1,6,13,23,5,6,2,6,2,0,A
15-01-05,Tottenham,Chelsea,0,2,12,12,4,5,14,12,4,7,2,4,0,0,A
16-01-05,Fulham,West Brom,1,0,8,7,4,6,12,12,7,5,3,1,0,0,H
16-01-05,Middlesbrough,Everton,1,1,18,13,12,5,12,10,9,6,1,2,0,0,D
22-01-05,Birmingham,Fulham,1,2,8,6,5,3,16,11,5,3,1,3,0,0,A
22-01-05,Chelsea,Portsmouth,3,0,14,9,9,5,2,9,2,3,0,0,0,0,H
22-01-05,Crystal Palace,Tottenham,3,0,8,12,7,6,9,14,5,4,1,2,0,0,H
22-01-05,Everton,Charlton,0,1,12,4,7,3,13,10,9,5,1,2,0,0,A
22-01-05,Man United,Aston Villa,3,1,18,10,11,6,11,21,4,2,2,5,0,0,H
22-01-05,Norwich,Middlesbrough,4,4,17,22,9,15,11,16,5,8,0,3,0,0,D
22-01-05,Southampton,Liverpool,2,0,11,11,7,2,10,12,6,3,1,2,0,0,H
22-01-05,West Brom,Man City,2,0,13,11,6,5,9,12,3,11,2,0,0,0,H
23-01-05,Arsenal,Newcastle,1,0,13,4,8,1,17,19,11,1,2,3,0,0,H
24-01-05,Blackburn,Bolton,0,1,9,6,4,3,16,19,7,7,1,4,0,0,A
01-02-05,Arsenal,Man United,2,4,11,10,10,9,20,16,6,7,2,4,0,1,A
01-02-05,Bolton,Tottenham,3,1,15,11,9,5,9,17,4,6,0,2,0,1,H
01-02-05,Charlton,Liverpool,1,2,4,19,3,7,11,15,3,7,0,0,0,0,A
01-02-05,Portsmouth,Middlesbrough,2,1,14,9,5,2,9,8,9,5,1,2,0,0,H
01-02-05,West Brom,Crystal Palace,2,2,12,4,7,4,17,11,8,4,1,0,0,1,D
02-02-05,Birmingham,Southampton,2,1,12,6,4,3,11,18,8,1,0,2,0,0,H
02-02-05,Blackburn,Chelsea,0,1,11,6,2,3,24,15,4,4,2,2,0,0,A
02-02-05,Everton,Norwich,1,0,18,11,4,6,12,16,3,3,1,0,0,0,H
02-02-05,Fulham,Aston Villa,1,1,12,12,3,2,12,17,4,8,1,3,0,0,D
02-02-05,Man City,Newcastle,1,1,5,3,1,1,11,18,3,1,2,3,0,0,D
05-02-05,Aston Villa,Arsenal,1,3,5,15,1,6,13,11,5,2,2,0,0,0,A
05-02-05,Crystal Palace,Bolton,0,1,17,9,7,6,16,10,6,4,0,1,0,0,A
05-02-05,Liverpool,Fulham,3,1,10,6,7,2,12,13,4,3,1,4,0,0,H
05-02-05,Man United,Birmingham,2,0,17,7,11,1,10,16,5,2,1,3,0,0,H
05-02-05,Middlesbrough,Blackburn,1,0,13,6,7,3,14,10,8,10,1,2,1,0,H
05-02-05,Newcastle,Charlton,1,1,21,8,10,2,10,12,7,2,1,1,0,0,D
05-02-05,Norwich,West Brom,3,2,13,15,7,8,18,13,3,3,0,3,0,0,H
05-02-05,Tottenham,Portsmouth,3,1,18,6,10,3,10,8,9,2,0,0,0,0,H
06-02-05,Chelsea,Man City,0,0,11,5,8,2,9,11,7,1,2,1,0,0,D
06-02-05,Southampton,Everton,2,2,21,8,9,4,15,11,8,3,0,2,0,0,D
12-02-05,Birmingham,Liverpool,2,0,5,6,3,2,16,10,10,4,2,0,0,0,H
12-02-05,Blackburn,Norwich,3,0,18,9,13,6,15,14,12,3,2,1,0,0,H
12-02-05,Bolton,Middlesbrough,0,0,13,5,8,2,11,15,3,2,0,1,0,0,D
12-02-05,Everton,Chelsea,0,1,4,25,2,11,14,9,3,9,1,2,1,0,A
12-02-05,Portsmouth,Aston Villa,1,2,9,6,3,4,14,22,6,3,2,1,0,0,A
13-02-05,Man City,Man United,0,2,9,10,3,3,9,14,4,6,2,3,0,0,A
14-02-05,Arsenal,Crystal Palace,5,1,17,6,12,3,8,17,5,1,1,2,0,0,H
22-02-05,West Brom,Southampton,0,0,9,11,4,7,15,15,7,3,2,3,0,0,D
26-02-05,Aston Villa,Everton,1,3,9,15,6,9,22,17,3,7,3,0,0,0,A
26-02-05,Crystal Palace,Birmingham,2,0,8,9,2,5,23,15,4,7,3,3,0,0,H
26-02-05,Man United,Portsmouth,2,1,13,8,6,4,15,15,4,3,1,2,0,0,H
26-02-05,Southampton,Arsenal,1,1,10,17,3,12,9,13,3,5,1,1,1,1,D
26-02-05,Tottenham,Fulham,2,0,18,8,8,5,6,13,13,2,0,1,0,0,H
27-02-05,Middlesbrough,Charlton,2,2,21,5,18,2,10,15,10,1,0,3,0,0,D
27-02-05,Newcastle,Bolton,2,1,14,4,9,2,12,19,6,3,0,2,0,0,H
28-02-05,Norwich,Man City,2,3,5,17,4,10,12,7,3,12,2,2,1,0,A
05-03-05,Arsenal,Portsmouth,3,0,11,5,6,2,12,15,7,3,0,2,0,0,H
05-03-05,Aston Villa,Middlesbrough,2,0,8,5,4,1,8,6,5,4,1,2,0,0,H
05-03-05,Crystal Palace,Man United,0,0,2,16,1,9,12,9,2,7,5,4,1,0,D
05-03-05,Fulham,Charlton,0,0,10,9,5,6,9,12,5,5,3,2,0,0,D
05-03-05,Newcastle,Liverpool,1,0,13,6,4,3,11,16,5,4,2,2,0,0,H
05-03-05,Norwich,Chelsea,1,3,8,23,5,13,14,15,7,7,1,2,0,0,A
05-03-05,Southampton,Tottenham,1,0,9,13,4,8,7,11,4,10,1,2,0,0,H
06-03-05,Everton,Blackburn,0,1,12,11,4,5,15,20,6,3,3,2,0,0,A
06-03-05,West Brom,Birmingham,2,0,12,7,7,0,16,18,13,3,1,1,0,0,H
07-03-05,Man City,Bolton,0,1,8,11,3,3,10,21,5,5,1,2,0,0,A
15-03-05,Chelsea,West Brom,1,0,23,7,11,4,13,9,8,3,0,1,0,0,H
16-03-05,Charlton,Tottenham,2,0,5,7,2,4,15,16,5,2,1,4,0,0,H
16-03-05,Liverpool,Blackburn,0,0,7,5,2,2,12,13,11,3,1,1,0,0,D
